Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,000907501920053661",0,"-0,0199513599654158",0,0,0,"1,2060107053621","0,00249652543441958","-2,24983403104319E-19","-3,57285857288803E-06","0,004155330126658","-4,24579059909699E-20","0,00633371253498906",0,0,0,0,0,0,package://my_first_robot/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://my_first_robot/meshes/base_link.STL,,base_part-2,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_RB,0,"0,19645",0,0,0,0,"0,11569","5,0261E-05","4,5354E-23","7,0077E-39","8,7869E-05","-4,9454E-38","5,0261E-05",0,0,0,0,0,0,package://my_first_robot/meshes/link_RB.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://my_first_robot/meshes/link_RB.STL,,2nd_wheel_part-1,RB_cs,RB_axis,joint_RB,continuous,"-0,0575","-0,105","-0,02",0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_LB,0,"-0,19645","2,7756E-17",0,0,0,"0,11569","5,0261E-05","-6,127E-22","-1,1535E-36","8,7869E-05","7,8716E-38","5,0261E-05",0,0,0,0,0,0,package://my_first_robot/meshes/link_LB.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://my_first_robot/meshes/link_LB.STL,,2nd_wheel_part-2,LB_cs,LB_axis,joint_LB,continuous,"-0,0575","0,105","-0,02",0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_F,"-6,9389E-18",0,"2,7756E-17",0,0,0,"0,0017671","3,9761E-08","-1,3528E-52","3,5265E-38","3,9761E-08","-1,653E-38","3,9761E-08",0,0,0,0,0,0,package://my_first_robot/meshes/link_F.STL,"0,78039","0,76078","0,74118",1,0,0,0,0,0,0,package://my_first_robot/meshes/link_F.STL,,W420 Universal Steel Ball Caster-1/ball-1,F_cs,F_axis,joint_F,continuous,"0,059866",0,"-0,0529",0,0,0,base_link,0,1,0,,,,,,,,,,,,
